Id,Name,Rating,Author,Genre,Made with,Tags,Github_links,Url,Total ratings,Repo_Name,repoAge,forks,watchers,stars,openIssues,closedIssues,totalIssues,issuesOpenedLast6Months,AvgIssueCloseTime,commits,dateOfLastCommit,daysOfActivity,commitsInLast6Months,committersParticipation,assets_Images,assets_Audio,assets_3D Models,assets_Shaders,assets_Fonts,assets_Videos,assets_Tilemaps,tests_hasSomeTestFolder?,tests_Test Folders,tests_hasPotentialTestFiles?,tests_hasTestFiles,docs_HasDocs,llm_testing_Bug Related Activity,llm_testing_Testing Practices,llm_testing_Troubleshooting Practices,llm_testing_Contribution Practices,engine_EngineOrFramework
9933,Astray,,?,"Adventure,Role Playing",Unity,"Aliens,Open Source,Pixel Art,Retro,Sci-fi,Singleplayer,Top down shooter,Unity",https://github.com/uspgamedev/Astray,https://glitch-bat.itch.io/astray,,Astray,1605,1,2,2,0,0,0,0,0.0,5,2021-05-28 19:07:39+00:00,14,0,2,303,14,0,13,6,0,0,No,,No,,Yes,No,No,No,No,Unity
10249,At Odds,5.0,PeoplePancakes,Strategy,SFML,"2D,4X,Open Source,rts,SFML,Singleplayer,Space",https://github.com/pancakespeople/At-Odds,https://peoplepancakes.itch.io/at-odds,1.0,At-Odds,1623,2,12,12,0,0,0,0,0.0,565,2022-06-12 23:01:07+00:00,411,0,1,145,44,0,28,3,0,0,No,,No,,Yes,No,No,No,No,Unknown
9359,backrooms,,zodiepupper,?,?,"3D,backrooms,Godot,Horror,Open Source,Procedural Generation,Singleplayer,sourcecode",https://github.com/zodywoolsey/backrooms,https://zodiepupper.itch.io/backrooms,,backrooms,1026,1,2,2,1,0,0,0,0.0,25,2023-04-13 22:08:26+00:00,119,0,4,76,2,5,1,1,0,0,No,,No,,No,No,No,No,No,Unity
9127,Backrooms Hole,,Code Lelou,?,?,"Escape Game,GitHub,Open Source,Unreal Engine",https://github.com/codelelou/BackroomsHole,https://codelelou.itch.io/backrooms-hole,,BackroomsHole,1031,0,0,0,0,0,0,0,0.0,37,2023-05-13 14:08:04+00:00,154,0,1,0,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unreal Engine
9025,Adoughable bread,,?,Simulation,Godot,"baking,bread,Casual,Cooking,Godot,Minimalist,Open Source,Short,Singleplayer",https://github.com/milana-94888u/baking_bread,https://onitenjikunezumi.itch.io/adoughable-bread,,baking_bread,569,0,0,0,0,0,0,0,0.0,33,2024-03-18 06:20:20+00:00,2,0,3,45,23,0,0,0,0,0,No,,No,,No,No,No,No,No,Unity
9210,Ball'n'Tower,,Juppi,Puzzle,"Godot,Blender","3D,Blender,Godot,Low-poly,Open Source",https://github.com/JupiterRider/ballntower_cs,https://juppi.itch.io/ballntower,,ballntower_cs,2075,4,6,6,0,1,1,0,0.0,12,2022-09-21 19:27:45+00:00,964,0,2,2,0,8,0,1,0,0,No,,No,,Yes,No,No,No,No,Unity
10408,BB-8 Demo,,Safety Meeting Studios,?,?,"3D,3rd-person,bb8,demo,Open Source,Robots,Short,star-wars,Unity",https://github.com/kmm11411/BB8,https://safety-meeting-studios.itch.io/bb8-demo-controller,,BB8,1905,0,0,0,0,0,0,0,0.0,34,2020-08-04 00:17:14+00:00,15,0,2,82,0,13,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
9193,Kabufuda solitaire,,Pesopes,Puzzle,?,"addicting,Open Source,Simple",https://github.com/Pesopes/BBS-solitaire,https://pesopes.itch.io/kabufuda,,BBS-solitaire,1137,2,2,2,0,0,0,0,0.0,40,2024-01-26 09:22:37+00:00,518,0,2,94,12,0,0,17,0,0,No,,No,,Yes,No,No,No,No,Unity
9588,Be a smart car,,w45ya,Racing,?,"2D,Arcade,mmcs-game-jam-2022,Open Source,pygame,Short,Singleplayer",https://github.com/w45ya/Be-a-smart-car,https://w45ya.itch.io/be-a-smart-car,,Be-a-smart-car,1271,0,0,0,0,0,0,0,0.0,16,2022-04-24 11:35:01+00:00,10,0,2,20,8,0,0,1,0,0,No,,No,,Yes,No,No,No,No,Unknown
8998,Beach Palooz,,MoonMoth,Puzzle,GameMaker,"2D,GameMaker,High Score,Open Source,Pixel Art",https://github.com/TheDevMoth/BeachPalooz-sourcecode,https://moonmoth.itch.io/beach-palooz,,BeachPalooz-sourcecode,1592,0,2,2,0,0,0,0,0.0,4,2021-05-28 03:40:08+00:00,0,0,1,265,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,GameMaker
9436,Beaming,5.0,kflorence,Puzzle,?,"2D,beam,hexagonal-grid,Minimalist,Open Source,Singleplayer",https://github.com/kflorence/beaming,https://kyleflorence.itch.io/beaming,1.0,beaming,1285,0,1,1,4,0,16,0,0.0,154,2025-05-08 20:12:03+00:00,1134,5,1,2,0,0,0,0,0,0,Yes,test,Yes,,Yes,No,No,No,No,Unknown
9787,Beat the console,,ger0436,"Action,Puzzle",?,"2D,Godot,Open Source",https://github.com/sanitygames/beat_the_console,https://ger0436.itch.io/beat-the-console,,beat_the_console,1079,0,0,0,0,0,0,0,0.0,24,2022-10-23 11:00:35+00:00,0,0,1,33,7,0,0,1,0,0,No,,No,,No,No,No,No,No,Godot
5602,Bee,4.9,Emily Short,Interactive Fiction,?,"Meaningful Choices,Narrative,Short,Slice Of Life,storygame,Text based",https://github.com/dendry/bee,https://inthewalls.itch.io/bee,26.0,bee,3779,5,14,14,1,1,2,0,0.0,4,2015-06-02 11:45:14+00:00,0,0,1,0,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
8733,Below Deck BlackJack,,Oliver,Card Game,?,"2D,LOWREZJAM,Open Source,Pixel Art",https://github.com/oliverclothes/below-deck,https://oliverclothes.itch.io/below-deck-blackjack,,below-deck,416,0,0,0,0,0,0,0,0.0,5,2025-05-24 11:26:19+00:00,281,1,2,63,3,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unity
10514,Ben Was Assimilated,3.8,EAtkin,"Adventure,Puzzle,Role Playing,Strategy",GameMaker,"Hack and Slash,Open Source,raspberry-pi,Roguelike,sourcecode,Turn-based",https://github.com/Eatkin/BenWasAssimilated,https://eatkin.itch.io/ben-was-assimilated,13.0,BenWasAssimilated,1819,1,4,4,0,0,0,0,0.0,7,2025-06-20 21:08:46+00:00,1711,1,1,413,0,0,0,0,0,5,No,,No,,Yes,No,No,No,No,GameMaker
9128,Bird Go Up,,dialupnoises,Platformer,?,"2D,Casual,Open Source,Pixel Art,Unity",https://github.com/azrogers/BirdGoUp,https://dialupnoises.itch.io/bird-go-up,,BirdGoUp,1866,1,0,0,0,0,0,0,0.0,15,2019-06-30 03:27:26+00:00,-424,0,1,27,10,0,0,7,0,0,No,,No,,Yes,No,No,No,No,Unity
5712,Bit Golf,4.8,badcop,Puzzle,Godot,Ludum Dare 54,https://github.com/cgsdev0/bit-golf,https://badcop.itch.io/bit-golf,23.0,bit-golf,737,0,5,5,0,0,0,0,0.0,34,2023-10-11 11:14:42+00:00,11,0,1,8,18,0,0,2,0,0,No,,No,,No,No,No,No,No,Godot
8824,Unicorn and diamonds BK-0010 game,,TAV (NTFS),Action,?,"2D,Indie,Open Source,Pixel Art,Retro,Singleplayer",https://github.com/tereshenkovav/BK-0010-game,https://tav-developer.itch.io/unicorn-and-diamonds-game-bk-0010,,BK-0010-game,896,1,2,2,4,11,15,1,210.08,150,2025-06-27 16:30:01+00:00,795,29,1,9,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
10278,Black Box Jumper Online v.1.6,5.0,GhostMiner,"Platformer,Action","GameMaker,Audacity,GIMP","2D,Arcade,Fast-Paced,GameMaker,Minimalist,Open Source,Singleplayer,Time Attack",https://github.com/Ghost-Miner/Black-Box-Jumper,https://ghost-miner.itch.io/black-box-jumper-online,2.0,Black-Box-Jumper,1955,2,1,1,0,0,0,0,0.0,33,2023-04-21 17:47:47+00:00,1056,0,1,1571,20,0,1,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
9519,Blox,,russmatney,Puzzle,Godot,"2D,Godot,Open Source,puyo,Tetris",https://github.com/russmatney/blox,https://russmatney.itch.io/blox,,blox,478,1,4,4,0,0,0,0,0.0,83,2025-08-10 19:13:42+00:00,421,3,1,36,0,0,0,3,0,0,Yes,test,Yes,Yes,Yes,Yes,Yes,No,No,Unity
9580,Blue Light,,aeterponis,Shooter,?,"High Score,Open Source,Space,Top down shooter,Unity",https://github.com/reinhpash/Blue-Light,https://aeterponis.itch.io/blue-light,,Blue-Light,1440,0,1,1,0,0,0,0,0.0,4,2021-10-27 06:12:27+00:00,0,0,1,19,9,0,0,1,0,0,No,,No,,Yes,No,No,No,No,Unity
10144,Blue Screen,3.9,Varun R.,Shooter,"Unity,Blender","3D,6dof,connected-worlds,Cyberpunk,cyberspace,First-Person,Ludum Dare 30,Open Source,Short,Stealth",https://github.com/rameshvarun/BlueScreen,https://varunramesh.itch.io/blue-screen,14.0,BlueScreen,3853,0,1,1,0,0,0,0,0.0,55,2021-11-29 06:14:49+00:00,2446,0,1,19,21,36,0,1,0,0,No,,No,,Yes,No,No,No,No,Unity
9396,Boba Fusion,,Koop,Puzzle,Godot,"Casual,Open Source,Suika Game",https://github.com/koopmyers/Boba-Fusion,https://koopmyers.itch.io/boba-fusion,,Boba-Fusion,406,3,23,23,2,0,2,0,0.0,25,2025-07-31 16:39:29+00:00,339,6,1,24,6,0,0,1,0,0,No,,No,,Yes,No,No,No,No,Godot
3031,Book of Shaders - Godot,5.0,jayaarrgh,Educational,?,"Godot,godotengine,Shaders,tool",https://github.com/jayaarrgh/BookOfShaders-Godot,https://jayaarrgh.itch.io/book-of-shaders-godot,21.0,BookOfShaders-Godot,2039,23,370,370,1,4,5,0,0.0,35,2022-01-23 21:06:17+00:00,687,0,2,0,0,0,1,1,0,0,No,,No,,Yes,No,No,No,No,Godot
9881,Boulder,,rh_galaxy,"Platformer,Puzzle",SDL,"2D,32x32,boulder-dash,Level Editor,Open Source,Retro,Singleplayer,Tilemap",https://github.com/rh-galaxy/boulder,https://rh-galaxy.itch.io/boulder,,boulder,367,2,10,10,1,0,2,0,0.0,51,2025-02-11 21:10:51+00:00,130,0,2,35,19,0,0,3,0,0,No,,Yes,,Yes,No,No,No,No,Unknown
9649,Snakession,,Huntrt,Action,"ChipTone,Unity","2D,Arcade,High Score,Mouse only,Open Source,Roguelike,Top-Down,Unity",https://github.com/Huntrt/Brackeys-9,https://huntrt.itch.io/snakession,,Brackeys-9,965,0,1,1,0,0,0,0,0.0,241,2023-03-07 01:38:49+00:00,21,0,1,14,19,0,13,1,0,0,No,,No,,Yes,No,No,No,No,Unknown
5622,Break The Sky,4.8,Sam Bigos,?,?,"2D,Arcade,Shoot 'Em Up,Top down shooter",https://github.com/samuelbigos/break_the_sky,https://sambigos.itch.io/break-the-sky,40.0,break_the_sky,1590,1,10,10,0,0,0,0,0.0,143,2024-07-28 06:14:22+00:00,1154,0,1,32,19,64,1,3,0,0,No,,Yes,,Yes,No,No,No,No,Unity
8730,Godot Breakout,,Had2023,?,Godot,"2D,Arcade,Godot,Open Source",https://github.com/had2020/Breakout,https://had2023.itch.io/godot-breakout,,Breakout,641,0,3,3,0,0,0,0,0.0,3,2024-01-03 22:20:40+00:00,0,0,1,1,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Godot
4730,Scale Salon,,"Action,Strategy",Phaser,"Dragons,Furry,Game Maker's Toolkit Jam,Hand-drawn,Tycoon",About a half-hour,https://github.com/Chocobois/built-to-scale,https://golen.itch.io/scale,,built-to-scale,415,0,0,0,0,0,0,0,0.0,253,2024-08-31 05:39:15+00:00,14,0,8,209,47,0,0,2,0,0,No,,No,,Yes,No,No,No,No,Phaser
7905,Bunbons,4.8,sg,Simulation,?,"Pixel Art,Virtual Pet",https://github.com/zenzoa/bunbons,https://zenzoa.itch.io/bunbons,50.0,bunbons,2057,2,10,10,0,0,2,0,0.0,123,2022-07-22 22:03:41+00:00,886,0,2,28,39,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
9019,Bygone,,saricden,Platformer,?,"Action-Adventure,Open Source,Pixel Art",https://github.com/saricden/bygone,https://saricden.itch.io/bygone,,bygone,561,0,1,1,0,6,6,0,0.0,46,2024-05-31 19:23:54+00:00,68,0,1,89,47,0,0,0,0,4,Yes,test,Yes,,Yes,No,No,No,No,Phaser
10049,Mini Running Ant (Pokemon Mini),5.0,Dr. Ludos,Action,?,"Homebrew,Ludum Dare 56,Open Source,pokemon-mini",https://github.com/pokemon-mini/c88-pokemini,https://drludos.itch.io/mini-running-ant-pokemon-mini,1.0,c88-pokemini,2369,5,21,21,0,2,2,0,0.0,50,2025-05-27 05:40:48+00:00,2237,1,4,0,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
9790,Caked,,Jacic,Shooter,OpenFL,"Arcade,birthday,cake,Open Source,Shoot 'Em Up",https://github.com/Jacic/Caked,https://jacic.itch.io/caked,,Caked,3011,0,0,0,0,0,0,0,0.0,9,2019-07-09 18:46:32+00:00,730,0,2,13,16,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unity
10018,Callsign: HANGMAN,,?,"Action,Survival",Godot,"3D,Atmospheric,Godot,Horror,Open Source,Short,Singleplayer",https://github.com/JohnGabrielUK/CallsignHangman,https://johngabrieluk.itch.io/callsign-hangman,,CallsignHangman,723,2,5,5,0,0,0,0,0.0,147,2023-10-22 19:39:48+00:00,9,0,4,100,100,2,0,8,0,0,No,,Yes,,No,No,No,No,No,Unknown
9395,Candy Smuggler,3.0,tomeyro,"Role Playing,Strategy",?,"Godot,Open Source,resource-management",https://github.com/tomeyro/CandySmuggler,https://tomeyro.itch.io/candy-smuggler,1.0,CandySmuggler,1852,0,0,0,0,0,0,0,0.0,1,2020-09-10 05:02:30+00:00,0,0,1,36,17,0,0,1,0,0,No,,No,,No,No,No,No,No,Godot
8740,Canyon Run,,theMinesAreShakin,Racing,Godot,"2D,Arcade,Godot,Open Source,Space,Top-Down",https://github.com/jakemeinershagen/canyon-run,https://theminesareshakin.itch.io/canyon-run,,canyon-run,1029,0,0,0,16,18,34,0,0.0,69,2024-01-15 22:03:46+00:00,399,0,2,9,1,0,0,0,0,0,No,,No,,Yes,Yes,No,No,No,Unity
2189,CardioCasino,4.5,cnnmon,"Simulation,Interactive Fiction,Visual Novel",Unity,"2D,artgame,Casual,Life Simulation,Mouse only,Short,Singleplayer,Surreal",https://github.com/cnnmon/CardioCasino,https://cnnmon.itch.io/cardiocasino,240.0,CardioCasino,2169,0,3,3,0,0,0,0,0.0,3,2019-10-29 00:41:03+00:00,0,0,1,0,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
10304,Catch The Golden Bugs,5.0,Kayuusha,Action,Godot,"2D,dodgethebugs,Fast-Paced,Godot,Indie,Open Source,Short,Top-Down",https://github.com/Kayuusha/catch-the-golden-bugs,https://kayuusha.itch.io/catch-the-golden-bugs,3.0,catch-the-golden-bugs,492,0,0,0,1,0,1,0,0.0,13,2024-06-05 13:23:38+00:00,3,0,1,20,5,0,0,1,0,0,Yes,test,Yes,,Yes,No,No,No,No,Unity
10030,Caterkillar: Boss Battle Sample Game,4.5,Akzidenz,Action,DragonRuby GTK,"2D,bossbattlejam,dragonruby,Open Source",https://github.com/oeloeloel/caterkillar-sample-game,https://akzidenz.itch.io/caterkillar-boss-battle-sample-game,2.0,caterkillar-sample-game,1253,0,3,3,0,0,0,0,0.0,7,2022-05-01 20:17:28+00:00,0,0,1,9,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
9608,Ceifador,,rthurmed,"Action,Puzzle",?,"Bullet Hell,Magic,Open Source,Shoot 'Em Up",https://github.com/rthurmed/Ceifador,https://rthurmed.itch.io/ceifador,,Ceifador,889,1,1,1,0,0,0,0,0.0,107,2023-06-04 01:26:14+00:00,34,0,1,51,14,0,0,1,0,0,No,,No,,Yes,No,No,No,No,Unity
1963,Cell Machine,4.6,Sam Hogan,Puzzle,Unity,"2D,Experimental,Game Maker's Toolkit Jam,Pixel Art,Unity",https://github.com/QwertyR0/CellBoy,https://samhogan.itch.io/cell-machine,714.0,CellBoy,736,0,3,3,1,0,1,0,0.0,16,2025-06-26 00:48:18+00:00,634,4,1,0,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
